agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,rec_week,days_active,weeks_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
35988,VID FOR TRAVEL,"Eastern, Central Europe & CIS",2019-12-20,2022-07-22,2023-01-01,2023-02-12,67,19325.09,4,1,43,7,9.571428571428571,0,0.0,2.2587824703356527,9.869159530624596,3,3,3,9
47175,FADPAULO TRAVELS AND TOURS LIMITED,Africa,2021-08-27,2021-11-02,2023-01-01,2023-01-31,6,1370.08,16,3,31,5,1.2,0,1.0986122886681098,0.1823215567939546,7.222624411277882,2,2,2,6
36176,TIMES TRAVEL LTD T/A ERIXUM,UK,2020-01-06,2020-01-14,2023-01-01,2023-02-14,295,235465.41,2,1,45,7,42.142857142857146,0,0.0,3.7410652072845068,12.369319302669943,3,3,3,9
24050,IBERICA VIAJES Y TURISMO,Latin America,2018-12-12,2019-03-12,2023-01-01,2023-01-30,25,22832.91,17,3,30,5,5.0,0,1.0986122886681098,1.6094379124341003,10.035958195264351,2,3,3,8
63849,GEMINI TRAVELS,Africa,2022-09-22,2022-10-30,2023-01-01,2023-01-05,3,607.02,42,7,5,1,3.0,0,1.9459101490553132,1.0986122886681098,6.408561739445854,1,3,1,5
2095,MUTHAIGA TRAVEL LTD(NAIROBI),Africa,2013-09-13,2013-10-05,2023-01-01,2023-02-14,30,14079.76,2,1,45,7,4.285714285714286,0,0.0,1.455287232606842,9.552493584112213,3,3,3,9
30794,THE GOLDENGATE TRAVEL,APAC,2019-07-14,2022-09-25,2023-01-01,2023-02-14,24,23280.56,2,1,45,7,3.4285714285714284,0,0.0,1.2321436812926323,10.055373956538876,3,3,3,9
15166,LUNA ROJA ARGENTINA,Latin America,2017-11-14,2017-11-30,2023-01-01,2023-01-07,4,3231.46,40,6,7,2,2.0,0,1.791759469228055,0.6931471805599453,8.08068932647378,1,2,2,5
53607,SEEF TRAVEL,Middle East,2022-01-13,2022-02-05,2023-01-01,2023-02-10,41,23188.28,6,1,41,6,6.833333333333333,0,0.0,1.9218125974762528,10.051402257598035,3,3,3,9
32470,AL CABANA TRAVEL AND TOURISM ,Middle East,2019-08-29,2019-11-26,2023-01-01,2023-01-01,3,234.99,46,7,1,1,3.0,0,1.9459101490553132,1.0986122886681098,5.459542960047257,1,3,1,5
21146,TRAVELITOO ADVENTURE,Middle East,2018-09-06,2018-09-20,2023-01-01,2023-01-09,4,2356.55,38,6,9,2,2.0,0,1.791759469228055,0.6931471805599453,7.764953964046604,1,2,2,5
53719,TWIN ISLAND TRAVEL,North America,2022-01-18,2022-02-03,2023-01-01,2023-01-31,5,1582.37,16,3,31,5,1.0,0,1.0986122886681098,0.0,7.366679002144748,2,1,2,5
19649,DAHLMANN VIAJES,Latin America,2018-07-11,2019-01-24,2023-01-01,2023-02-14,5,5858.71,2,1,45,7,0.7142857142857143,0,0.0,-0.3364722366212129,8.675684721818687,3,1,3,7
40198,GET TOURS,Southern Europe,2020-10-27,2020-11-09,2023-01-01,2023-02-05,27,13235.33,11,2,36,6,4.5,0,0.6931471805599453,1.5040773967762742,9.490645048237777,2,3,3,8
36984,YUSUF BIN AHMED KANOO CO. LTD. (KSA - BAE),Middle East,2020-02-05,2020-02-10,2023-01-01,2023-02-14,96,214310.0,2,1,45,7,13.714285714285714,0,0.0,2.618438042412523,12.275178843928721,3,3,3,9
31480,YUSUF BIN AHMED KANOO CO. LTD. (KSA - EP),Middle East,2019-08-01,2019-09-12,2023-01-01,2023-02-14,270,234465.59,2,1,45,7,38.57142857142857,0,0.0,3.6525118099430616,12.365064118361564,3,3,3,9
67472,QM VISAS Y VIAJES,Latin America,2022-12-12,2023-01-01,2023-01-01,2023-01-01,1,428.4,46,7,1,1,1.0,1,1.9459101490553132,0.0,6.060057338573594,1,1,1,3
25041,ARAB LINK TRAVEL & TOURISM LLC (ONLINEARABLINK.COM),Middle East,2019-02-04,2020-08-16,2023-01-01,2023-02-14,38,29549.1,2,1,45,7,5.428571428571429,0,0.0,1.6916760106710724,10.293808565517633,3,3,3,9
880,EIHAB TRAVELS,Middle East,2012-03-13,2012-09-04,2023-01-01,2023-02-09,5,4422.6,7,2,40,6,0.8333333333333334,0,0.6931471805599453,-0.1823215567939546,8.394483037423297,2,1,2,5
25137,AL FAISALIAH TRAVEL & TOURISM CO,Middle East,2019-02-07,2020-10-05,2023-01-01,2023-02-02,76,40979.31,14,3,33,5,15.2,0,1.0986122886681098,2.7212954278522306,10.62082258416944,2,3,3,8
60880,THE ROUTE STOP INBOUND TOURISM LLC,Middle East,2022-07-08,2022-07-21,2023-01-01,2023-01-23,4,843.58,24,4,23,4,1.0,0,1.3862943611198906,0.0,6.737654740405138,1,1,1,3
7388,REEF TRAVEL & TOURISM AGENCY,Middle East,2016-05-03,2016-05-04,2023-01-01,2023-02-14,18,7980.77,2,1,45,7,2.5714285714285716,0,0.0,0.9444616088408515,8.984790177016945,3,3,3,9
60991,DIAMOND WINGS TRAVEL LLC,Middle East,2022-07-13,2022-08-15,2023-01-01,2023-02-14,14,12596.83,2,1,45,7,2.0,0,0.0,0.6931471805599453,9.441200473984587,3,2,3,8
2087,CHARLESTON TRAVEL 3,Africa,2013-09-10,2013-10-10,2023-01-01,2023-02-14,97,58901.33,2,1,45,7,13.857142857142858,0,0.0,2.6288008294480694,10.9836189500299,3,3,3,9
60960,WING HOLIDAY (MALAYSIA) SDN BHD,APAC,2022-07-12,2022-07-14,2023-01-01,2023-02-11,19,6878.68,5,1,42,7,2.7142857142857144,0,0.0,0.9985288301111273,8.8361820520547,3,3,3,9
10035,KONOOZ TRAVEL (JED),Middle East,2017-01-03,2017-01-07,2023-01-01,2023-02-14,37,24375.4,2,1,45,7,5.285714285714286,0,0.0,1.6650077635889111,10.101329705987812,3,3,3,9
29207,AMIRIM TOURS LTD - TUS,Southern Europe,2019-05-23,2022-12-08,2023-01-01,2023-02-14,80,81193.66,2,1,45,7,11.428571428571429,0,0.0,2.436116485618568,11.304592444283726,3,3,3,9
36696,YUSUF BIN AHMED KANOO CO. LTD. (KSA - NEOM),Middle East,2020-01-27,2020-01-27,2023-01-01,2023-02-14,858,863726.59,2,1,45,7,122.57142857142857,0,0.0,4.808693950432649,13.669011550947092,3,3,3,9
39406,R.C.I. ISRAEL (1999) LTD - RCI,Southern Europe,2020-09-02,2020-11-20,2023-01-01,2023-02-14,198,92837.89,2,1,45,7,28.285714285714285,0,0.0,3.3423568816392217,11.438610132857377,3,3,3,9
29182,ATID TOURS,Southern Europe,2019-05-23,2019-05-29,2023-01-01,2023-02-14,102,62882.36,2,1,45,7,14.571428571428571,0,0.0,2.6790626642289577,11.049020958205404,3,3,3,9
7621,REHLATY TRAVEL & TOURISM,Middle East,2016-05-25,2016-05-30,2023-01-01,2023-02-13,84,94796.61,3,1,44,7,12.0,0,0.0,2.4849066497880004,11.459488928110057,3,3,3,9
8736,H.K. TRAVELBOX LTD.,APAC,2016-08-24,2016-10-29,2023-01-01,2023-02-11,13,7204.81,5,1,42,7,1.8571428571428572,0,0.0,0.6190392084062235,8.882504137509924,3,2,3,8
45519,TRAVEL IDEAS ONLINE SDN BHD ,APAC,2021-07-01,2022-04-22,2023-01-01,2023-02-11,23,5569.74,5,1,42,7,3.2857142857142856,0,0.0,1.1895840668738364,8.6251036531963,3,3,3,9
14938,SADAF HOLIDAYS & TRAVELS (SADAFHOLIDAYS.AE),Middle East,2017-10-31,2017-11-14,2023-01-01,2023-02-14,48,39652.85,2,1,45,7,6.857142857142857,0,0.0,1.9252908618525775,10.587918103420558,3,3,3,9
441,ORBIT TRAVELS(DOH),Middle East,2011-10-16,2013-06-18,2023-01-01,2023-02-14,157,145231.17,2,1,45,7,22.428571428571427,0,0.0,3.1103356562929947,11.886082027756137,3,3,3,9
7832,VICTORIA TRAVELS,Middle East,2016-06-11,2016-06-12,2023-01-01,2023-02-14,324,270583.08,2,1,45,7,46.285714285714285,0,0.0,3.834833366737016,12.5083344650477,3,3,3,9
5046,GULF VOYAGER,Middle East,2015-04-27,2015-04-27,2023-01-01,2023-02-14,62,48768.85,2,1,45,7,8.857142857142858,0,0.0,2.181224235989778,10.794847068356368,3,3,3,9
31447,MABROOK TRAVEL LLC ,Middle East,2019-07-31,2019-08-01,2023-01-01,2023-02-04,4,2866.03,12,2,35,6,0.6666666666666666,0,0.6931471805599453,-0.40546510810816444,7.960683075883926,2,1,2,5
4715,SPOTS TRAVEL & TOURISM (JED),Middle East,2015-02-18,2018-07-05,2023-01-01,2023-02-12,4,1258.8,4,1,43,7,0.5714285714285714,0,0.0,-0.5596157879354228,7.137914165190252,3,1,1,5
1033,CLEOPATRA TRAVEL(DOH),Middle East,2012-06-03,2012-06-24,2023-01-01,2023-02-14,30,44216.44,2,1,45,7,4.285714285714286,0,0.0,1.455287232606842,10.696851944612492,3,3,3,9
62541,VR WORLDWIDE SERVICES ,Middle East,2022-08-15,2022-08-18,2023-01-01,2023-02-07,23,3465.83,9,2,38,6,3.8333333333333335,0,0.6931471805599453,1.3437347467010947,8.150707421178838,2,3,2,7
31479,YUSUF BIN AHMED KANOO CO. LTD. (KSA - WP),Middle East,2019-08-01,2019-09-12,2023-01-01,2023-02-14,39,21604.68,2,1,45,7,5.571428571428571,0,0.0,1.717651497074333,9.98066523687009,3,3,3,9
898,TRANS ORIENT AIR SERVICES,Middle East,2012-04-03,2016-05-30,2023-01-01,2023-01-26,5,4202.0,21,4,26,4,1.25,0,1.3862943611198906,0.22314355131420976,8.343315881404946,1,2,2,5
42911,FRIEDMAN TOURS LTD,Southern Europe,2021-04-06,2021-04-07,2023-01-01,2023-02-14,58,42420.65,2,1,45,7,8.285714285714286,0,0.0,2.114532861491106,10.655390550962146,3,3,3,9
210, ITL LEISURE TOURISM AND TRAVEL CO.,Middle East,2011-06-12,2012-04-18,2023-01-01,2023-02-14,139,82324.45,2,1,45,7,19.857142857142858,0,0.0,2.9885637840753785,11.318423426384106,3,3,3,9
60619,LEISURE TRIPS ,Middle East,2022-07-01,2022-08-20,2023-01-01,2023-01-27,3,3741.32,20,3,27,4,0.75,0,1.0986122886681098,-0.2876820724517809,8.227193769315962,1,1,2,4
9182,PT. MANDIRI DUTA WISATA,APAC,2016-10-04,2018-03-16,2023-01-01,2023-01-24,9,11453.53,23,4,24,4,2.25,0,1.3862943611198906,0.8109302162163288,9.34605325841188,1,2,3,6
57353,FLIGHT EXPERT LLC,Middle East,2022-04-23,2022-05-20,2023-01-01,2023-02-14,164,74803.67,2,1,45,7,23.428571428571427,0,0.0,3.153956278768885,11.222622226930085,3,3,3,9
394,INTERCONTINENTAL TRAVEL COMPANY(JED),Middle East,2011-09-25,2014-04-03,2023-01-01,2023-02-14,157,70326.39,2,1,45,7,22.428571428571427,0,0.0,3.1103356562929947,11.16090239853777,3,3,3,9
12165,GLOBAL ISLAND TRAVEL & TOURISM ,Middle East,2017-05-17,2017-06-05,2023-01-01,2023-02-14,40,47170.85,2,1,45,7,5.714285714285714,0,0.0,1.742969305058623,10.761531396043871,3,3,3,9
35431,MTG GLOBAL SERVICES FZC,Middle East,2019-11-29,2020-10-22,2023-01-01,2023-02-14,165,209063.81,2,1,45,7,23.571428571428573,0,0.0,3.1600353248452673,12.250394795353813,3,3,3,9
802,CARAVAN TOURS & TRAVEL / ACE TRAVEL CO. LTD. (JED),Middle East,2012-01-30,2012-06-16,2023-01-01,2023-02-14,44,22958.13,2,1,45,7,6.285714285714286,0,0.0,1.8382794848629478,10.041427401123567,3,3,3,9
4412,FRIENDS TRAVEL & TOURISM LLC - WEB,Middle East,2014-12-04,2016-09-12,2023-01-01,2023-02-14,424,222958.91,2,1,45,7,60.57142857142857,0,0.0,4.103823306176644,12.314742773374594,3,3,3,9
6173,MOHAMED LAFE TRADING (MAKKAH),Middle East,2015-12-27,2015-12-28,2023-01-01,2023-02-14,18,9154.65,2,1,45,7,2.5714285714285716,0,0.0,0.9444616088408515,9.122017225902658,3,3,3,9
40715,AVIATION LINKS LTD. - HO,Southern Europe,2020-11-22,2021-11-23,2023-01-01,2023-02-12,32,22287.4,4,1,43,7,4.571428571428571,0,0.0,1.519825753744413,10.011776775341364,3,3,3,9
5091, ALMOSAFIR HOLIDAYS TRAVEL & TOURISM (TAIF) ,Middle East,2015-05-10,2015-07-14,2023-01-01,2023-02-11,39,17586.65,5,1,42,7,5.571428571428571,0,0.0,1.717651497074333,9.77489537047505,3,3,3,9
1251,ZAHID TRAVEL GROUP,Middle East,2012-09-27,2014-01-06,2023-01-01,2023-02-14,355,435252.42,2,1,45,7,50.714285714285715,0,0.0,3.9262076404201025,12.983681417637953,3,3,3,9
9669,GRAND TRAVEL AGENCY,Southern Europe,2016-11-22,2016-11-25,2023-01-01,2023-02-10,32,37817.23,6,1,41,6,5.333333333333333,0,0.0,1.6739764335716716,10.540520097859073,3,3,3,9
16337,AMSALEM TOURS & TRAVEL LTD,Southern Europe,2018-02-05,2019-07-28,2023-01-01,2023-02-14,558,415362.65,2,1,45,7,79.71428571428571,0,0.0,4.378448813325997,12.93690727304516,3,3,3,9
47693,QATAR AIRWAYS HOLIDAYS - B2B (FLIGHT + HOTEL),Middle East,2021-09-09,2022-06-24,2023-01-01,2023-02-13,159,258454.11,3,1,44,7,22.714285714285715,0,0.0,3.122994053164918,12.46247343299339,3,3,3,9
3824,"DADABHAI TRAVEL, AL KHOBAR",Middle East,2014-08-25,2014-11-12,2023-01-01,2023-02-13,98,38221.27,3,1,44,7,14.0,0,0.0,2.6390573296152584,10.55114744591829,3,3,3,9
16452,TRAVBEST TRAVEL & TOURS CO,APAC,2018-02-12,2019-10-14,2023-01-01,2023-01-06,3,1640.11,41,6,6,1,3.0,0,1.791759469228055,1.0986122886681098,7.402518591739671,1,3,2,6
16744,TRAVEL WINGS TOURISM LLC ,Middle East,2018-03-01,2018-03-11,2023-01-01,2023-01-17,3,4208.17,30,5,17,3,1.0,0,1.6094379124341003,0.0,8.344783152841062,1,1,2,4
51997,MOUSSAD ,Africa,2021-11-20,2021-12-24,2023-01-01,2023-02-02,4,1911.61,14,3,33,5,0.8,0,1.0986122886681098,-0.2231435513142097,7.555701097910241,2,1,2,5
51473,UNITED TOURS &TRAVELS GHARAFFA MAIN,Middle East,2021-11-13,2021-11-14,2023-01-01,2023-02-11,163,197486.99,5,1,42,7,23.285714285714285,0,0.0,3.147840051751449,12.193427987735843,3,3,3,9
18703,7 CONTINENTS TRAVEL LTD,UK,2018-05-29,2018-05-30,2023-01-01,2023-02-12,112,110692.15,4,1,43,7,16.0,0,0.0,2.772588722239781,11.614508203806537,3,3,3,9
32848,ALRAYA TRAVEL & TOURISM CO,Middle East,2019-09-07,2019-09-21,2023-01-01,2023-02-07,43,17852.44,9,2,38,6,7.166666666666667,0,0.6931471805599453,1.9694406464655074,9.78989547254379,2,3,3,8
51484,OFAKIM TRAVEL & TOURS (1979) LTD - ASAKIM,Southern Europe,2021-11-14,2021-11-25,2023-01-01,2023-02-14,422,263933.76,2,1,45,7,60.285714285714285,0,0.0,4.099095164980699,12.483453441554591,3,3,3,9
860,ARJAA TRAVEL & TOURISM,Middle East,2012-03-04,2013-01-26,2023-01-01,2023-02-14,286,171573.19,2,1,45,7,40.857142857142854,0,0.0,3.7100816617645394,12.052765218398736,3,3,3,9
65520,SINDIBAD TURIZM TICARET ANONIM SIRKETI (ALIBABA.IR),Middle East,2022-10-28,2022-11-05,2023-01-01,2023-02-10,17,13573.52,6,1,41,6,2.8333333333333335,0,0.0,1.0414538748281612,9.515876114917527,3,3,3,9
370,AMECO TRAVEL AGENCY(DMM),Middle East,2011-09-17,2012-07-10,2023-01-01,2023-02-14,64,93786.95,2,1,45,7,9.142857142857142,0,0.0,2.2129729343043585,11.44878099951585,3,3,3,9
1167,BRIGHTFOCUS(LIBYAN),Africa,2012-08-28,2012-09-02,2023-01-01,2023-02-14,35,17131.32,2,1,45,7,5.0,0,0.0,1.6094379124341003,9.748663646142711,3,3,3,9
5617,THE GOLDEN VACATIONS (GV.SA),Middle East,2015-08-26,2018-05-12,2023-01-01,2023-02-08,15,10991.32,8,2,39,6,2.5,0,0.6931471805599453,0.9162907318741551,9.30486114937531,2,3,3,8
