agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,days_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
47886,EQUAL TRAVEL,Latin America,2021-09-15,2021-10-15,2022-10-01,2022-12-29,30,14327.42,3,90,0.3333333333333333,0,1.0986122886681098,-1.0986122886681098,9.569930462742532,3,2,3,8
36202,MUNDO JOVEN TRAVEL SHOP ,Latin America,2020-01-07,2021-03-06,2022-10-01,2022-12-30,143,91856.53,2,91,1.5714285714285714,0,0.6931471805599453,0.4519851237430572,11.427983182291486,3,3,3,9
2217,FLY TIMES AGENCY (MADINAH),Middle East,2013-10-19,2016-12-13,2022-10-01,2022-11-19,12,4534.91,43,50,0.24,0,3.7612001156935624,-1.4271163556401458,8.419560516707326,1,2,2,5
26242,TRAVEL MAP,Latin America,2019-03-12,2019-08-12,2022-10-01,2022-12-17,36,13244.72,15,78,0.46153846153846156,0,2.70805020110221,-0.7731898882334817,9.491354261429866,2,2,3,7
38446,VIAJES COLON,Latin America,2020-06-09,2021-07-28,2022-10-01,2022-12-08,8,3973.11,24,69,0.11594202898550725,0,3.1780538303479458,-2.1546649629174235,8.287304442317808,2,1,2,5
30632,TRAVELANDO ,Latin America,2019-07-09,2019-07-15,2022-10-01,2022-12-30,29,35738.27,2,91,0.31868131868131866,0,0.6931471805599453,-1.143563676530376,10.483977382393558,3,2,3,8
21373,AVIATUR JTR,Latin America,2018-09-14,2018-09-24,2022-10-01,2022-12-28,53,25870.74,4,89,0.5955056179775281,0,1.3862943611198906,-0.518344456180018,10.16086787933224,3,2,3,8
15358,TURISMO LATRACH,Latin America,2017-11-24,2018-05-15,2022-10-01,2022-12-30,96,37339.74,2,91,1.054945054945055,0,0.6931471805599453,0.05348868495098622,10.527813454029157,3,3,3,9
50336,ELITE HOUSING SERVICES,North America,2021-11-09,2021-12-19,2022-10-01,2022-11-28,9,5364.95,34,59,0.15254237288135594,0,3.5263605246161616,-1.8803128665695,8.587642335356879,1,1,2,4
10239,ACAECER VIAJES (BEATUS ILLE S.A.),Latin America,2017-01-25,2017-02-07,2022-10-01,2022-12-20,10,5820.26,12,81,0.12345679012345678,0,2.4849066497880004,-2.0918640616783932,8.66910021326717,2,1,2,5
37955,UGA TURISMO,Latin America,2020-03-11,2021-11-24,2022-10-01,2022-12-15,10,3005.47,17,76,0.13157894736842105,0,2.833213344056216,-2.0281482472922856,8.008189240729182,2,1,2,5
59232,NAU MAI TRAVEL,Latin America,2022-06-02,2022-06-08,2022-10-01,2022-12-29,125,59276.66,3,90,1.3888888888888888,0,1.0986122886681098,0.32850406697203605,10.989970915602628,3,3,3,9
31708,INSPIRAMEXICO INC,North America,2019-08-07,2020-07-10,2022-10-01,2022-12-30,42,17547.52,2,91,0.46153846153846156,0,0.6931471805599453,-0.7731898882334817,9.772667908367426,3,2,3,8
54035,VIA FLY VIAGENS,Latin America,2022-01-26,2022-02-08,2022-10-01,2022-11-21,9,1719.66,41,52,0.17307692307692307,0,3.713572066704308,-1.754019141245208,7.449881875848731,1,1,1,3
62171,EXPRESS HOLIDAY LTD,APAC,2022-08-09,2022-08-28,2022-10-01,2022-10-24,8,2132.21,69,24,0.3333333333333333,0,4.23410650459726,-1.0986122886681098,7.6649142794969345,1,2,2,5
25850,MARYA TRAVEL,Middle East,2019-03-03,2019-03-20,2022-10-01,2022-12-27,48,19557.55,5,88,0.5454545454545454,0,1.6094379124341003,-0.6061358035703156,9.881116680119945,3,2,3,8
15277,GALAXY HOLIDAY,APAC,2017-11-21,2018-12-22,2022-10-01,2022-12-26,132,38802.27,6,87,1.5172413793103448,0,1.791759469228055,0.4168938039317871,10.566234029054645,3,3,3,9
9723,KAMPALA VIAGENS,Latin America,2016-11-25,2016-12-06,2022-10-01,2022-12-24,30,22285.5,8,85,0.35294117647058826,0,2.0794415416798357,-1.041453874828161,10.011691521745517,3,2,3,8
26969,TRAVELDREAMS,Latin America,2019-04-03,2019-04-03,2022-10-01,2022-11-17,6,1413.84,45,48,0.125,0,3.8066624897703196,-2.0794415416798357,7.254064685881541,1,1,1,3
63788,ONTRACK,North America,2022-09-20,2022-10-01,2022-10-01,2022-12-28,33,19322.32,4,89,0.3707865168539326,1,1.3862943611198906,-0.9921288082656595,9.86901618337288,3,2,3,8
29314,SHENZHEN CHUNQIU INTERNATIONAL TRAVEL AGENCY,China,2019-05-27,2021-01-14,2022-10-01,2022-12-28,4,464.03,4,89,0.0449438202247191,0,1.3862943611198906,-3.1023420086122493,6.139949205308613,3,1,1,5
26663,PT ASVINIA TRAVEL SERVICES,APAC,2019-03-25,2019-11-06,2022-10-01,2022-12-17,30,14264.27,15,78,0.38461538461538464,0,2.70805020110221,-0.9555114450274363,9.565513088135562,2,2,3,7
14011,TRAEVENTS,APAC,2017-09-10,2022-10-01,2022-10-01,2022-10-01,1,1153.7,92,1,1.0,1,4.5217885770490405,0.0,7.050729447933244,1,3,1,5
52319,LARANAZ USA,North America,2021-11-28,2021-12-17,2022-10-01,2022-12-20,133,49916.86,12,81,1.6419753086419753,0,2.4849066497880004,0.495899973549315,10.818114100423955,2,3,3,8
41032,GITA TOURISM & TRAVEL L.L.C,Middle East,2020-12-12,2021-05-19,2022-10-01,2022-12-29,16,9791.93,3,90,0.17777777777777778,0,1.0986122886681098,-1.7272209480904839,9.189313856033746,3,1,3,7
21371,AVIATUR UNICENTRO,Latin America,2018-09-14,2018-09-18,2022-10-01,2022-12-30,73,45798.92,2,91,0.8021978021978022,0,0.6931471805599453,-0.22040006536845885,10.732015789038218,3,3,3,9
11471,AIDIL TRAVEL & TOURS SDN BHD,APAC,2017-04-05,2017-04-10,2022-10-01,2022-12-29,9,4651.57,3,90,0.1,0,1.0986122886681098,-2.3025850929940455,8.444960076004334,3,1,2,6
47535,TRAVEL CORE,Latin America,2021-09-07,2022-04-08,2022-10-01,2022-12-23,10,6421.58,9,84,0.11904761904761904,0,2.1972245773362196,-2.128231705849268,8.767419472323915,3,1,2,6
31480,YUSUF BIN AHMED KANOO CO. LTD. (KSA - EP),Middle East,2019-08-01,2019-09-12,2022-10-01,2022-12-30,813,657570.1,2,91,8.934065934065934,0,0.6931471805599453,2.1898716030309604,13.39630665332056,3,3,3,9
34447,WORLD CONNECTION TRAVEL AND INCENTIVES SA DE CV,Latin America,2019-10-29,2019-10-31,2022-10-01,2022-12-30,157,72694.27,2,91,1.7252747252747254,0,0.6931471805599453,0.5453862988314581,11.194017843358987,3,3,3,9
7934,SEVEN DIAMOND EXPRESS TRAVEL CO. LTD.,APAC,2016-06-20,2016-06-21,2022-10-01,2022-12-19,26,5774.85,13,80,0.325,0,2.5649493574615367,-1.1239300966523995,8.661267561026689,2,2,2,6
20290,INDIKA WISATA,APAC,2018-08-02,2018-08-15,2022-10-01,2022-11-09,18,5275.06,53,40,0.45,0,3.970291913552122,-0.7985076962177716,8.570745332687162,1,2,2,5
15810,PERSONALE TURISMO LTDA.,Latin America,2017-12-31,2018-02-16,2022-10-01,2022-12-19,51,20123.66,13,80,0.6375,0,2.5649493574615367,-0.4502010019495559,9.909651516219029,2,2,3,7
17852,SUPERIOR AT PARAGON TRAVEL SERVICES,APAC,2018-05-07,2018-05-16,2022-10-01,2022-12-23,40,31829.68,9,84,0.47619047619047616,0,2.1972245773362196,-0.7419373447293773,10.368154466816868,3,2,3,8
