agency_id,rooms_page,pax_page
18837,66,17
43314,2117,145
29149,207,131
63788,1487,26
1300,600,145
2622,9,6
34680,722,215
17022,81,39
5145,13,3
55467,13,5
20419,23,7
28366,77,1
20183,30,17
32890,846,15
45673,1222,815
17371,389,133
63703,274,29
53250,122,21
53754,102,14
31405,112,26
46238,72,10
18494,685,129
13132,88,29
22475,213,50
59521,2,2
13987,81,39
55119,14,7
33663,1598,307
38800,146,11
11483,38,7
62483,4,1
41209,190,44
14623,103,32
9114,73,33
64260,193,45
65721,8,5
62032,12,4
65324,7,0
24088,114,65
17021,16,1
5191,537,88
58436,28,7
3917,134,37
35286,58,15
17460,165,15
11035,206,91
26764,236,66
8924,35,15
30298,33,4
61209,4,2
10680,52,0
441,652,90
58717,28,11
60855,77,56
15434,162,6
41927,120,45
17356,178,56
11565,182,59
34563,341,109
42400,183,51
8056,67,36
15361,77,42
49219,176,29
11471,35,11
64223,25,1
14490,99,52
56196,17,4
11472,142,88
21255,11,3
18044,2128,443
21002,68,9
60740,76,9
17423,41,8
28785,20,7
40742,97,1
65937,11,3
56952,39,9
28653,157,29
61443,249,29
61056,8,5
17331,155,61
25690,29,10
16915,60,11
22305,506,269
28193,5,1
39371,20,7
12088,53,7
11726,81,32
53456,329,18
8205,93,69
60325,6,3
16051,90,28
65828,70,8
63423,110,19
16792,52,7
22458,7,1
27667,126,44
54870,97,57
7103,30,10
15277,435,127
11683,62,16
2083,618,136
12527,78,23
19725,295,45
7119,6,3
30750,19,1
12060,26,12
61121,15,4
11558,155,20
56822,19,13
44234,26,10
17623,154,98
9010,5,1
53719,77,14
62630,9,2
54067,24,4
65408,2,2
14438,55,12
18550,19,7
17110,88,51
67003,44,17
49784,3,1
7896,46,17
22002,53,9
61155,13,6
60184,29,3
12247,17,5
12280,42,9
61698,90,29
7501,186,66
20986,83,41
25584,19,4
9031,60,18
25977,20,1
20907,27,5
34296,3,3
19183,28,1
17380,77,14
8732,88,24
13852,64,12
40145,6,4
13829,8,0
37345,20,7
11512,88,13
39143,101,24
45519,26,10
30265,2,0
9217,50,7
10979,165,60
50336,840,5
60960,17,5
53822,1,0
9326,86,29
47853,19,0
28658,38,3
48152,11,2
8213,86,9
14601,1,0
18481,241,33
65821,17,10
16666,13,8
16916,26,18
11563,4,0
14110,37,4
26904,4,1
61916,1,0
22292,30,0
52354,159,26
20997,30,2
12051,3,0
7932,3,0
25210,54,3
14053,134,84
11737,297,91
11610,32,5
6346,138,14
26376,11,1
64695,20,5
21147,317,28
39150,194,25
39122,37,22
59173,1,0
32837,43,15
30803,43,4
47748,54,21
58203,11,4
18606,31,6
8741,131,14
60882,34,16
64933,391,115
55648,30,12
23908,24,5
51655,7,2
14958,11,5
26010,91,20
7040,228,78
62893,79,9
63300,8,1
62072,11,6
45354,7,0
16629,106,35
7877,2,0
12355,22,4
14013,40,18
8588,3,0
1567,40,8
10972,7,3
58807,4,1
6211,152,63
20878,62,15
2353,17,4
9016,313,268
24535,14,1
26915,28,12
25962,23,1
21885,117,32
27286,11,7
10342,221,121
1699,606,187
15083,87,40
14063,5,1
6387,259,3
9305,53,7
31445,18,4
13385,11,3
31048,103,8
17908,32,12
19629,53,18
22148,8,0
48736,6,1
18828,194,12
15388,169,48
10771,73,6
33325,55,2
29845,237,55
6993,158,29
7777,135,27
19325,11,1
11905,41,18
15985,221,37
8716,73,29
1561,1113,171
52737,9,8
163,364,185
8772,17,5
26483,37,16
9873,58,11
28748,169,22
37078,40,29
3547,124,41
24241,856,36
61773,197,17
6059,1251,504
3807,774,176
48315,127,41
3229,444,53
56578,30,17
38755,23,0
42200,1,1
62080,35,2
64692,56,32
51681,99,25
1580,347,104
22635,221,62
5952,82,37
3824,247,66
7832,2267,387
22680,45,2
40765,93,32
25137,283,81
17378,98,56
319,145,31
56490,1236,665
25041,1294,173
62283,3,0
2568,1190,221
25694,53,8
14373,45,7
32660,101,28
56799,63,18
24249,701,134
63918,171,27
51473,539,137
45624,24,3
63074,236,94
25304,1663,116
7708,3,1
23491,286,15
3282,49,17
48226,357,70
45293,10,0
27759,3,0
14466,164,2
7623,358,233
20679,94,33
55108,285,71
3477,168,3
47425,120,57
200,284,58
28018,129,13
42203,203,55
16617,122,51
24428,7,2
978,1490,295
35401,19,5
15534,24,4
16125,70,25
50012,6,2
58887,339,41
2429,85,36
13921,12,1
2562,1932,416
28159,481,11
49927,186,5
3031,105,25
35431,158,66
234,119,40
1251,912,423
44495,93,49
57036,234,43
2359,143,16
11594,166,58
45711,467,157
31482,541,180
44532,170,35
53163,14,4
25263,29,10
9582,94,29
60695,84,15
4924,705,128
23430,77,25
35245,84,0
48210,61,8
58314,44,8
34845,20,11
46092,266,29
7112,49,9
343,366,65
16919,18,10
1033,211,63
41921,61,23
25132,60,8
11475,32,4
23043,356,49
9865,304,33
4826,423,89
22745,73,5
50039,774,268
3518,12,8
17624,57,17
2322,131,26
5091,509,73
37890,42,6
11806,86,17
53670,113,21
585,231,65
57353,171,48
46324,101,68
7268,95,22
27959,2,0
683,55,13
9425,42,21
41939,14,1
34252,963,591
42741,344,20
25870,56,13
25029,538,88
60724,112,22
44795,46,16
9477,83,11
56743,13,7
15460,38,13
52551,313,92
5242,63,22
41918,80,12
62362,33,6
48743,49,7
65872,3,0
33050,15,9
52522,74,4
5423,20,0
4340,729,54
62,65,28
8025,51,6
28724,2111,232
14530,363,35
21082,191,54
53214,605,35
40969,7,5
26529,201,14
44059,327,13
51702,294,139
1306,117,41
48740,36,7
52232,34,11
58178,225,103
45148,720,58
12073,34,10
93,102,11
1832,96,15
46095,92,16
34106,210,21
24404,4,0
11881,514,30
3850,4,4
61610,139,72
54574,228,13
15996,65,22
63434,231,16
7605,76,38
46087,68,4
40744,377,22
32848,554,35
59798,18,0
58664,68,20
461,60,32
40023,372,48
44604,631,436
2620,50,15
2932,2873,150
883,287,76
44405,41,7
9156,186,86
6126,74,45
41957,832,18
5034,141,8
62192,46,5
18702,98,11
49835,20,5
385,229,84
3516,143,7
64269,37,13
20996,280,12
40992,94,26
6347,175,97
60743,627,77
46474,57,13
29921,1,0
8199,22,1
5750,5414,676
400,365,79
16864,431,12
37999,757,350
66288,14,0
14622,123,57
57167,38,1
42491,23,9
100,824,119
204,637,220
53837,239,38
1048,501,112
16877,44,0
60126,219,69
49139,121,3
10035,1017,123
34854,227,59
65809,146,16
62770,1,0
15540,143,21
15946,54,10
406,77,46
40824,863,61
21412,15,0
1056,142,47
58567,410,59
60319,15,4
50275,6,0
443,74,34
12552,85,39
2538,66,20
4366,26,7
11373,51,39
30161,38,23
4064,16,16
46791,22,3
34405,104,6
46295,11,4
25354,73,10
704,57,36
6092,12,4
2263,42,3
394,600,139
55173,28,7
64033,250,19
16022,44,3
21293,123,28
18377,57,21
898,20,4
53221,7,3
52015,54,21
31222,10,3
210,535,161
57366,311,38
5105,181,19
42986,21,1
24247,40,13
586,40,18
47453,265,10
3383,56,9
7383,469,181
7598,29,4
60750,7,0
18379,11,2
370,198,97
15998,41,15
39961,12,4
63307,17,6
53692,88,0
470,54,5
24188,343,146
3102,72,4
16770,214,129
7388,116,16
25868,48,20
28182,355,129
67085,60,0
6173,296,76
10178,171,10
283,172,38
8400,370,39
45004,561,27
41773,38,6
741,786,131
45815,23,1
3592,209,23
23,408,43
66671,28,4
13123,21,2
21114,115,30
6077,7,0
230,57,11
5167,154,15
48071,222,18
5065,111,22
24336,879,0
56561,305,148
3071,345,100
30745,53,11
4894,9,1
7621,886,142
31669,357,56
386,85,13
47692,763,108
14965,341,18
9157,62,20
17530,289,47
46182,31,4
27910,15,4
61867,72,45
26526,17,2
22432,849,137
4715,33,4
1110,28,6
52017,76,19
44172,38,8
25378,509,32
39507,159,18
17357,32,11
21064,320,63
23317,349,27
49049,85,30
20434,196,32
5283,97,42
31356,30,11
14592,51,13
66241,61,14
5096,190,16
18353,19,1
1984,83,2
20934,27,15
9337,23,10
63342,378,3
2090,119,36
10797,81,14
20560,27,7
55766,112,13
30653,33,18
33347,233,37
43201,58,5
33342,148,7
38225,343,46
18607,13,7
60880,279,17
38698,136,3
30431,14,3
46442,1315,1145
1551,117,36
39396,98,14
33162,270,46
12768,145,30
445,15,5
45427,228,32
20455,27,1
18360,32,6
33219,18,1
16513,67,4
5588,373,63
62683,414,35
22209,60,5
17,76,43
59393,326,38
20014,33,8
20354,17,2
14728,23,10
59666,27,5
63278,565,101
35111,269,46
47637,1140,196
66409,37,0
21469,121,16
15253,72,8
46866,21,6
11534,4,1
42761,20,5
1018,50,11
24335,85,9
25815,996,806
45955,1002,62
48159,92,6
27129,78,11
66740,19,5
809,94,14
30059,255,18
11799,81,16
30236,121,17
531,66,17
14508,122,23
53158,348,19
6330,145,22
12757,246,53
44962,191,25
26839,87,34
29820,162,82
44178,278,70
47693,267,46
17230,40,11
8356,70,22
15899,70,18
10961,11,0
5392,290,27
9725,602,99
6067,45,7
52475,85,33
272,463,62
1014,63,12
28988,212,42
39605,39,0
276,61,1
1579,144,39
1599,595,147
11658,25,7
46214,16,3
52319,99,30
44544,145,105
17801,69,9
31772,36,4
9936,171,24
44873,56,14
70,64,7
11620,75,50
5196,19,5
53152,299,124
1126,115,10
14605,14,6
56560,141,14
29954,54,12
46861,18,1
58113,45,2
26222,85,64
15052,193,45
58649,426,69
1765,51,18
34259,128,18
42620,11,3
9266,606,91
58926,52,3
54064,185,60
306,2,0
32643,163,40
930,89,9
64016,4,0
5641,608,91
6238,1370,144
54878,192,45
2437,75,31
49285,46,6
1969,304,135
65990,86,28
2119,12,7
26505,107,27
1324,16,5
6377,153,134
17161,2,0
3854,181,51
626,610,139
66457,136,11
801,123,4
64058,14,0
2138,63,40
39868,54,19
7039,8,4
2484,66,10
17887,181,33
13931,96,40
3365,147,68
17037,56,20
2239,44,7
31084,38,6
966,121,59
3765,132,61
16261,138,53
39641,4,1
12165,121,32
64019,35,11
42019,77,32
44354,9,1
40927,183,85
62178,104,5
67063,49,2
57321,1066,364
61539,8,0
16609,2,1
36092,23,11
54170,228,19
3842,46,8
5267,96,76
7712,203,45
24641,137,38
32134,483,23
36426,344,93
55070,128,19
48871,65,6
7366,457,81
63324,318,67
36,26,14
45818,38,19
54605,240,46
20202,122,1
731,696,93
2336,1,1
47043,690,186
12831,495,41
758,161,11
12285,96,28
9818,77,29
9154,180,9
16198,51,13
5950,5,2
344,202,82
53444,90,13
1890,47,10
20272,142,15
49287,231,34
16337,1,0
52762,78,17
46876,16,0
51516,3,2
13621,110,9
40466,1,0
40301,1,0
39411,11,2
13728,113,8
6195,5,0
15272,64,14
19419,41,24
63565,1251,971
4114,71,22
12364,186,70
20380,65,35
25640,102,7
60142,192,96
7765,2,1
1923,27,1
