agency_id,rooms_page,pax_page
19345,104,16
35453,423,119
51453,359,112
16926,101,39
19130,116,31
13720,16,5
46159,89,50
13730,222,50
36860,143,51
21191,302,140
48299,96,34
63794,68,13
40137,25,12
16395,54,33
18432,5,0
24780,23,11
6361,206,74
21760,163,38
31456,97,47
46729,103,27
55557,24,0
31268,11,0
27313,125,13
24930,30,15
28438,217,49
40952,8,1
54231,4,2
15856,50,14
44585,29,6
5509,119,39
19151,23,7
24068,539,122
60291,83,15
28498,9,3
27837,45,10
12563,34,14
66140,21,8
42923,91,18
45672,121,99
15731,9,2
29428,89,42
36982,517,290
10752,32,16
6884,89,39
56096,8,0
60873,23,6
66273,64,4
25309,37,4
33663,9,0
16822,14,5
45353,32,1
56228,9,1
22121,72,21
15343,32,6
11558,16,9
48094,36,0
66235,38,14
15595,59,13
30836,95,5
66524,3,0
56145,8,1
13397,196,66
12659,13,4
24731,53,10
19645,158,41
58286,79,8
46427,58,3
23065,14,4
16059,38,10
10544,44,13
29466,48,14
60678,25,1
19558,16,6
56665,248,160
17634,124,40
7103,128,19
47105,36,7
41217,5,4
6347,3,3
17356,47,29
10540,87,16
12778,33,5
6214,53,36
24754,19,14
31084,41,9
10868,4,1
21371,239,83
22609,63,27
33593,11,4
36785,53,38
19469,142,91
18044,498,244
15874,1,0
49378,40,18
10738,126,18
45882,56,12
30632,93,26
62860,12,7
12245,3,0
11127,65,23
20062,24,10
11726,29,4
11801,201,66
46158,39,8
22023,141,38
48381,2,0
20948,117,27
51599,144,18
23134,1,1
16337,2991,673
1791,6763,1070
21410,39,13
14625,22,6
17425,199,52
26242,70,8
47226,22,19
7119,32,10
60882,26,9
63003,21,1
13550,91,42
55543,93,25
10595,12,2
34447,253,145
30957,24,8
15710,19,8
26093,9,1
11610,39,15
42047,61,11
15358,158,72
52507,2,1
45143,106,2
20907,32,3
13294,26,13
36805,23,12
35086,44,11
56884,142,58
4426,141,18
11867,4,1
63300,2,1
11609,2,0
22312,17,6
60157,261,106
19481,238,20
40107,36,23
